Frame u v idNr ID Vertex
935 16.55 438.29 3739 24 0
935 388.08 400.14 3739 24 2
935 207.3 465.17 3739 24 3
936 50.79 428.32 3743 24 0
936 403.25 397.11 3743 24 2
936 238.51 453.9 3743 24 3
938 82.44 425.29 3751 24 0
938 408.45 394.94 3751 24 2
938 266.26 443.93 3751 24 3
939 108.89 420.95 3755 24 0
939 423.63 389.74 3755 24 2
939 284.9 436.13 3755 24 3
941 122.76 416.62 3763 24 0
941 424.93 389.31 3763 24 2
941 296.17 432.23 3763 24 3
942 134.9 413.58 3767 24 0
942 434.03 387.14 3767 24 2
942 306.58 428.76 3767 24 3
944 171.32 405.35 3775 24 0
944 449.21 382.8 3775 24 2
944 334.75 421.39 3775 24 3
945 194.29 401.45 3780 24 0
945 459.61 379.77 3780 24 2
945 352.96 415.75 3780 24 3
947 204.7 399.71 3788 24 0
947 462.64 378.47 3788 24 2
947 362.93 413.58 3788 24 3
948 235.48 394.51 3792 24 0
948 481.72 375.0 3792 24 2
948 378.54 407.51 3792 24 3
950 243.71 392.34 3800 24 0
950 489.09 374.13 3800 24 2
950 388.08 405.78 3800 24 3
951 253.68 391.04 3804 24 0
951 492.12 373.7 3804 24 2
951 389.38 404.48 3804 24 3
952 273.63 386.71 3808 24 0
952 502.53 371.1 3808 24 2
952 406.72 399.28 3808 24 3
954 287.07 385.84 3816 24 0
954 510.77 369.8 3816 24 2
954 419.29 396.68 3816 24 3
955 303.97 381.5 3820 24 0
955 520.3 366.76 3820 24 2
955 432.3 392.34 3820 24 3
956 312.64 379.77 3824 24 0
956 527.67 364.6 3824 24 2
956 437.5 390.61 3824 24 3
958 325.22 378.47 3831 24 0
958 538.51 363.29 3831 24 2
958 449.64 388.01 3831 24 3
960 342.99 374.13 3839 24 0
960 550.65 362.86 3839 24 2
960 457.44 384.97 3839 24 3
961 350.36 372.4 3843 24 0
961 554.12 361.56 3843 24 2
961 466.98 382.37 3843 24 3
962 372.04 371.1 3847 24 0
962 563.66 358.53 3847 24 2
962 480.42 379.77 3847 24 3
964 383.31 368.93 3855 24 0
964 572.76 356.79 3855 24 2
964 487.79 377.17 3855 24 3
965 393.28 367.2 3859 24 0
965 579.7 355.06 3859 24 2
965 501.23 375.43 3859 24 3
966 401.52 365.03 3863 24 0
966 586.2 353.32 3863 24 2
966 509.47 373.27 3863 24 3
968 416.69 362.43 3871 24 0
968 595.74 348.12 3871 24 2
968 519.44 371.1 3871 24 3
969 425.79 361.56 3875 24 0
969 604.84 352.89 3875 24 2
969 529.84 369.8 3875 24 3
970 433.6 360.69 3880 24 0
970 610.48 351.59 3880 24 2
970 535.48 368.5 3880 24 3
971 440.1 359.83 3884 24 0
971 613.08 350.72 3884 24 2
971 538.08 365.9 3884 24 3
972 444.87 358.53 3888 24 0
972 619.58 350.29 3888 24 2
972 544.58 366.76 3888 24 3
973 451.37 356.79 3892 24 0
973 626.52 348.99 3892 24 2
973 548.48 366.33 3892 24 3
974 465.25 356.79 3896 24 0
974 633.45 348.99 3896 24 2
974 554.12 362.43 3896 24 3
976 470.88 355.92 3904 24 0
976 636.49 348.55 3904 24 2
976 558.89 361.56 3904 24 3
977 475.65 355.06 3908 24 0
977 639.09 348.55 3908 24 2
977 561.05 361.56 3908 24 3
978 491.69 352.46 3912 24 0
978 657.73 346.39 3912 24 2
978 578.4 359.83 3912 24 3
980 500.36 351.16 3920 24 0
980 662.07 345.52 3920 24 2
980 587.07 358.96 3920 24 3
981 504.26 351.59 3924 24 0
981 663.8 345.52 3924 24 2
981 585.77 358.96 3924 24 3
982 512.93 347.25 3927 24 0
982 673.71 343.26 3927 24 2
982 589.22 352.2 3927 24 3
983 517.91 349.33 3931 24 0
983 676.61 342.84 3931 24 2
983 592.54 353.44 3931 24 3
984 527.44 348.08 3935 24 0
984 684.9 343.26 3935 24 2
984 603.72 353.44 3935 24 3
986 534.48 347.67 3943 24 0
986 689.87 343.26 3943 24 2
986 607.45 353.44 3943 24 3
987 539.87 348.08 3947 24 0
987 690.29 343.67 3947 24 2
987 614.08 352.61 3947 24 3
988 553.96 346.01 3951 24 0
988 704.38 341.18 3951 24 2
988 629.42 350.12 3951 24 3
989 560.59 347.25 3955 24 0
989 705.62 342.01 3955 24 2
989 627.76 350.12 3955 24 3
991 564.31 346.01 3963 24 0
991 711.42 342.01 3963 24 2
991 631.49 348.88 3963 24 3
992 566.8 346.01 3967 24 0
992 719.29 342.01 3967 24 2
992 633.97 348.88 3967 24 3
993 578.4 344.77 3971 24 0
993 725.1 340.36 3971 24 2
993 645.99 346.81 3971 24 3
996 31.03 450.85 3984 36 0
996 398.16 401.27 3984 36 2
996 210.91 471.95 3984 36 3
997 67.91 442.97 3988 36 0
997 411.84 397.54 3988 36 2
997 242.4 464.49 3988 36 3
998 115.56 428.47 3992 36 0
998 428.82 392.57 3992 36 2
998 282.18 449.16 3992 36 3
1000 132.55 426.4 4000 36 0
1000 437.11 388.84 4000 36 2
1000 290.47 443.36 4000 36 3
1001 144.56 421.01 4004 36 0
1001 319.94 377.44 4004 36 2
1001 442.91 387.59 4004 36 2
1001 302.48 437.97 4004 36 3
1002 170.25 412.31 4008 36 0
1002 453.69 383.86 4008 36 2
1002 327.34 429.68 4008 36 3
1003 184.76 411.07 4012 36 0
1003 458.24 383.04 4012 36 2
1003 335.22 427.2 4012 36 3
1004 197.19 409.41 4016 36 0
1004 465.7 380.55 4016 36 2
1004 340.19 424.3 4016 36 3
1005 209.62 406.09 4020 36 0
1005 469.02 380.14 4020 36 2
1005 352.62 420.98 4020 36 3
1006 228.51 399.88 4024 36 0
1006 481.03 375.16 4024 36 2
1006 372.1 415.18 4024 36 3
1008 248.98 395.73 4031 36 0
1008 493.05 374.75 4031 36 2
1008 386.18 411.04 4031 36 3
1009 270.12 395.32 4035 36 0
1009 502.58 371.43 4035 36 2
1009 399.03 405.23 4035 36 3
1010 279.65 392.01 4039 36 0
1010 505.48 371.02 4039 36 2
1010 403.59 403.16 4039 36 3
1011 288.35 390.35 4043 36 0
1011 513.36 369.78 4043 36 2
1011 412.29 401.5 4043 36 3
1012 297.46 389.11 4047 36 0
1012 517.91 368.53 4047 36 2
1012 418.92 399.43 4047 36 3
1013 304.51 385.38 4051 36 0
1013 522.89 366.05 4051 36 2
1013 425.96 396.12 4051 36 3
1014 322.74 383.3 4055 36 0
1014 534.9 364.8 4055 36 2
1014 440.05 391.97 4055 36 3
1015 331.03 382.06 4059 36 0
1015 536.56 363.98 4059 36 2
1015 446.68 390.73 4059 36 3
1016 338.07 378.33 4063 36 0
1016 542.36 361.9 4063 36 2
1016 457.04 387.83 4063 36 3
1018 352.99 376.26 4071 36 0
1018 552.72 360.66 4071 36 2
1018 468.64 384.93 4071 36 3
1019 367.08 374.6 4075 36 0
1019 562.66 359.0 4075 36 2
1019 480.24 382.44 4075 36 3
1020 374.54 372.53 4080 36 0
1020 565.57 359.0 4080 36 2
1020 487.7 380.37 4080 36 3
1021 380.75 371.29 4084 36 0
1021 568.88 356.93 4084 36 2
1021 490.19 379.13 4084 36 3
1022 388.62 369.63 4088 36 0
1022 575.1 355.27 4088 36 2
1022 501.79 376.23 4088 36 3
1023 392.77 368.8 4092 36 0
1023 580.07 355.27 4092 36 2
1023 505.93 375.4 4092 36 3
1028 438.74 362.98 4112 36 0
1028 612.36 351.38 4112 36 2
1028 531.56 370.03 4112 36 3
1029 444.13 360.91 4116 36 0
1029 615.26 350.55 4116 36 2
1029 537.36 366.71 4116 36 3
1030 447.86 360.91 4120 36 0
1030 617.33 350.55 4120 36 2
1030 542.33 365.88 4120 36 3
1031 454.49 358.43 4124 36 0
1031 623.14 349.31 4124 36 2
1031 548.55 365.06 4124 36 3
1033 464.43 355.94 4131 36 0
1033 632.67 348.48 4131 36 2
1033 559.32 363.4 4131 36 3
1034 476.45 357.18 4135 36 0
1034 644.27 347.24 4135 36 2
1034 566.78 361.74 4135 36 3
1036 480.59 353.87 4143 36 0
1036 646.75 346.82 4143 36 2
1036 565.95 360.08 4143 36 3
1037 485.98 353.04 4147 36 0
1037 649.65 345.99 4147 36 2
1037 570.1 359.25 4147 36 3
1038 496.75 352.21 4151 36 0
1038 660.01 345.17 4151 36 2
1038 580.87 358.43 4151 36 3
1039 500.9 351.38 4155 36 0
1039 661.67 344.75 4155 36 2
1039 587.5 358.43 4155 36 3
1040 506.7 350.55 4159 36 0
1040 666.23 344.75 4159 36 2
1040 592.06 355.94 4159 36 3
1041 515.4 347.24 4163 36 0
1041 674.1 343.09 4163 36 2
1041 600.76 354.28 4163 36 3
1042 520.37 347.24 4167 36 0
1042 679.07 343.09 4167 36 2
1042 599.1 353.04 4167 36 3
1043 525.76 347.65 4171 36 0
1043 684.46 343.51 4171 36 2
1043 605.73 353.45 4171 36 3
1044 534.46 345.99 4175 36 0
1044 690.68 342.68 4175 36 2
1044 616.51 352.62 4175 36 3
1046 539.43 348.48 4184 36 0
1046 695.23 342.27 4184 36 2
1046 615.68 351.38 4184 36 3
1047 544.41 347.65 4188 36 0
1047 699.38 341.44 4188 36 2
1047 623.55 350.97 4188 36 3
1048 553.52 344.75 4192 36 0
1048 709.74 341.02 4192 36 2
1048 633.49 350.55 4192 36 3
1049 557.67 343.51 4196 36 0
1049 712.22 341.02 4196 36 2
1049 637.64 350.14 4196 36 3
1051 566.37 343.09 4204 36 0
1051 720.1 340.19 4204 36 2
1051 642.61 349.31 4204 36 3
1052 571.75 344.34 4208 36 0
1052 723.83 338.95 4208 36 2
1052 645.93 347.24 4208 36 3
1053 109.32 441.71 4212 32 0
1053 323.96 383.7 4212 32 1
1053 438.33 398.62 4212 32 2
1053 269.27 461.19 4212 32 3
1054 124.65 433.01 4216 32 0
1054 439.99 396.96 4216 32 2
1054 288.33 457.46 4216 32 3
1055 139.16 428.45 4220 32 0
1055 446.62 393.65 4220 32 2
1055 297.86 451.66 4220 32 3
1057 161.12 424.31 4227 32 0
1057 458.63 390.75 4227 32 2
1057 313.19 446.69 4227 32 3
1058 195.51 421.41 4231 32 0
1058 469.41 387.43 4231 32 2
1058 341.37 433.43 4231 32 3
